emp_id,emp_name,gender,department,location,manager_name,employment_type,language,joining_date,exit_date
1001,Employee_1001,M,Marketing,Bangalore,Rajesh Rao,Full-time,Kannada,8/2/2023,11/5/2024
1002,Employee_1002,M,Marketing,Mumbai,Amit Joshi,Full-time,Kannada,5/14/2022,2/13/2023
1003,Employee_1003,F,Marketing,Delhi,Amit Joshi,Intern,English,2/11/2021,
1004,Employee_1004,F,Tech Support,Bangalore,Nisha Patel,Intern,English,11/22/2020,
1005,Employee_1005,F,Finance,Pune,Rajesh Rao,Intern,Kannada,7/8/2020,1/6/2022
1006,Employee_1006,F,Sales,Mumbai,Rahul Nair,Intern,Kannada,9/12/2020,
1007,Employee_1007,M,Operations,Bangalore,Rahul Nair,Full-time,Hindi,1/28/2021,
1008,Employee_1008,F,Marketing,Pune,Rahul Nair,Full-time,Marathi,7/25/2020,4/30/2022
1009,Employee_1009,M,Finance,Chennai,Nisha Patel,Full-time,Hindi,6/30/2021,
1010,Employee_1010,M,Operations,Pune,Rajesh Rao,Full-time,English,8/4/2022,11/16/2024
1011,Employee_1011,M,Marketing,Mumbai,Rahul Nair,Full-time,Marathi,10/8/2021,
1012,Employee_1012,F,Marketing,Pune,Nisha Patel,Full-time,Marathi,10/19/2022,
1013,Employee_1013,F,Finance,Delhi,Rahul Nair,Full-time,Hindi,2/23/2023,
1014,Employee_1014,M,Sales,Bangalore,Nisha Patel,Intern,Kannada,11/9/2022,
1015,Employee_1015,F,Finance,Pune,Amit Joshi,Full-time,Marathi,5/10/2020,7/9/2022
1016,Employee_1016,F,Operations,Pune,Rajesh Rao,Intern,Tamil,8/22/2020,
1017,Employee_1017,F,Finance,Bangalore,Amit Joshi,Full-time,Marathi,11/19/2020,
1018,Employee_1018,M,Marketing,Pune,Nisha Patel,Full-time,Kannada,9/3/2021,
1019,Employee_1019,M,Tech Support,Pune,Nisha Patel,Full-time,Hindi,10/25/2021,
1020,Employee_1020,M,Operations,Delhi,Rajesh Rao,Full-time,Hindi,3/7/2023,
1021,Employee_1021,M,Tech Support,Mumbai,Amit Joshi,Intern,Hindi,9/13/2023,
